,Carimbo de data/hora,Endereço de e-mail,Qual é a sua idade?,Gênero,Quais plataformas de mídia social você costuma usar?,Cidade onde Mora,Sexo,Está empregado,Qual sua renda mensal bruta para custo de vida,Você têm religião?,Qual sua religião?,Qual é o tempo médio que você passa nas redes sociais todos os dias em horas?,"Numa escala de 1 a 5, quão facilmente você se distrai?  (Sendo 1 pouco e 5 muito)  ",Você acha difícil se concentrar nas coisas?    ,Pratica esporte com que frequência mensal?,Com que frequência você se distrai com as redes sociais quando está ocupado fazendo alguma coisa?,Com que frequência você se sente deprimido ou está deprimido?    ,Com que frequência você usa mídias sociais sem um propósito específico?,"Numa escala de 1 a 5, com que frequência você se compara a outras pessoas de sucesso através do uso das redes sociais?",Como você se sente quando vê publicações de pessoas mostrando vidas aparentemente perfeitas?,"Como você se sente ao receber poucos ""likes"" em suas postagens?",Você sente que o uso das redes sociais impacta seu humor de forma positiva ou negativa?,Dificuldade para dormir,Qual o impacto que você acredita que as redes sociais causam em você? (sendo 1 muito negativo e 5 muito positivo ),Você acha que passa mais tempo nas redes sociais do que gostaria? ,Como você reage quando vê comentários negativos ou críticas em suas postagens?,"Com que frequência você busca validação por meio de ""curtidas"" ou outros recursos das redes sociais?",Com que frequência você usa mídias sociais sem um propósito específico? ,Você já experimentou sentimentos de inveja ou inferioridade ao se comparar com outras pessoas nas redes? (Ex.: Aquele momento em que você abre a rede social do amigo e pensa dei errado para caramba),Já foi diagnosticado por um profissional com algum dos itens: [Nenhum],Já foi diagnosticado por um profissional com algum dos itens: [Depressão],Já foi diagnosticado por um profissional com algum dos itens: [Ansiedade],Já foi diagnosticado por um profissional com algum dos itens: [Estresse],Já foi diagnosticado por um profissional com algum dos itens: [TDAH],Já foi diagnosticado por um profissional com algum dos itens: [Transtorno Bipolar],Já foi diagnosticado por um profissional com algum dos itens: [Transtorno de ansiedade social :],"Já foi diagnosticado por um profissional com algum dos itens: [Fobia de Perda de Conexão ( Ansiedade relacionada à ausência de acesso ao celular ou redes sociais, causando angústia e desconforto.]",Já foi diagnosticado por um profissional com algum dos itens: [Transtorno Obsessivo-Compulsivo (TOC)],Já foi diagnosticado por um profissional com algum dos itens: [Transtorno de Estresse Pós-Traumático (TEPT)],Já foi diagnosticado por um profissional com algum dos itens: [Dislexia]
57,2024-11-16 10:20:19,alexanderknox@example.org,19.0,Feminino,sdv-pii-29zdz,sdv-pii-dy89g,Cisgênero (é o sexo que nasceu),Sim,Até 5 mil,Não,Católico,3.0,5.0,3,Até 4 vezes,2,1.0,2.0,5.0,4.0,3.0,Positiva,Nenhuma,5,Não,Indiferente,1.0,2.0,Sim,True,True,False,False,False,False,False,False,True,False,False
60,2024-11-16 08:56:56,fbarnes@example.org,57.0,Masculino,sdv-pii-2l5kb,sdv-pii-i8xuc,Cisgênero (é o sexo que nasceu),Sim,Atè 10 mil,Sim,Evangélico,3.0,4.0,3,Até 4 vezes,4,0.0,4.0,5.0,3.0,5.0,Positiva,Nenhuma,3,Não,Indiferente,2.0,3.0,Não,False,False,True,False,False,False,False,False,False,False,False
67,2024-11-16 09:43:58,wilsonjacob@example.com,53.0,Masculino,sdv-pii-q7myx,sdv-pii-blgs4,Cisgênero (é o sexo que nasceu),Sim,Até 3 mil,Sim,Católico,6.0,3.0,5,Até 4 vezes,1,1.0,2.0,1.0,5.0,2.0,Positiva,Nenhuma,3,Não,Indiferente,3.0,5.0,Não,True,True,False,True,True,False,False,False,False,False,False
69,2024-11-16 14:42:11,wcole@example.net,38.0,Masculino,sdv-pii-18f2x,sdv-pii-7bp7c,Cisgênero (é o sexo que nasceu),Sim,Atè 10 mil,Sim,Evangélico,5.0,5.0,2,Até 4 vezes,2,0.0,4.0,2.0,4.0,4.0,Positiva,Nenhuma,3,Sim,Penso sobre a critica,0.0,3.0,Não,False,True,False,False,False,False,False,False,False,False,False
70,2024-11-16 08:56:56,websterbrian@example.net,60.0,Feminino,sdv-pii-fnw7k,sdv-pii-25rbg,Cisgênero (é o sexo que nasceu),Sim,Até 5 mil,Sim,Católico,1.0,1.0,2,Nenhuma,1,0.0,4.0,1.0,3.0,1.0,Positiva,Nenhuma,3,Sim,Ansioso,1.0,2.0,Sim,False,False,True,False,False,False,False,False,False,False,False
76,2024-11-16 09:22:18,kelsey61@example.net,48.0,Feminino,sdv-pii-1a9ns,sdv-pii-lxywx,Cisgênero (é o sexo que nasceu),Sim,Até 3 mil,Sim,Evangélico,2.0,4.0,2,Até 4 vezes,1,1.0,2.0,2.0,3.0,3.0,Positiva,Muita,1,Não,Indiferente,2.0,0.0,Não,False,True,True,False,False,False,False,False,False,False,False
80,2024-11-16 08:56:56,emartinez@example.com,38.0,Masculino,sdv-pii-a8kje,sdv-pii-l6rg6,Cisgênero (é o sexo que nasceu),Não,Atè 10 mil,Sim,Evangélico,3.0,5.0,4,Até 4 vezes,3,3.0,1.0,4.0,1.0,3.0,Negativa,Nenhuma,3,Não,Indiferente,0.0,3.0,Não,True,True,True,False,False,False,False,False,False,False,False
85,2024-11-16 08:56:56,matthew84@example.com,29.0,Masculino,sdv-pii-2nt3u,sdv-pii-xujvw,Cisgênero (é o sexo que nasceu),Não,Até 5 mil,Sim,Evangélico,1.0,2.0,1,Até 4 vezes,3,0.0,5.0,1.0,5.0,2.0,Positiva,As vezes,3,Não,Indiferente,0.0,3.0,Não,True,False,True,True,True,False,False,False,False,True,False
96,2024-11-18 21:19:23,blackjulie@example.net,60.0,Feminino,sdv-pii-270ds,sdv-pii-kux3j,Cisgênero (é o sexo que nasceu),Sim,Até 20 mil,Sim,Evangélico,6.0,1.0,1,Nenhuma,3,1.0,3.0,1.0,3.0,3.0,Positiva,Nenhuma,3,Não,Penso sobre a critica,2.0,5.0,Não,True,True,False,False,False,False,False,False,False,False,False
99,2024-11-16 08:56:56,lpetty@example.com,28.0,Masculino,sdv-pii-n47af,sdv-pii-fcoxf,Cisgênero (é o sexo que nasceu),Sim,Atè 10 mil,Sim,Católico,3.0,5.0,1,Até 4 vezes,1,0.0,3.0,1.0,4.0,4.0,Positiva,Nenhuma,3,Não,Penso sobre a critica,0.0,2.0,Não,True,False,False,True,False,False,True,False,False,False,False
111,2024-11-16 08:56:56,gina85@example.net,26.0,Feminino,sdv-pii-35t5v,sdv-pii-motib,Cisgênero (é o sexo que nasceu),Sim,Atè 10 mil,Não,Evangélico,4.0,2.0,2,Até 4 vezes,1,0.0,3.0,1.0,4.0,2.0,Positiva,Nenhuma,3,Sim,Penso sobre a critica,3.0,3.0,Não,True,False,False,False,False,False,False,False,False,False,False
114,2024-11-16 11:02:45,donnablankenship@example.org,59.0,Masculino,sdv-pii-ea1ia,sdv-pii-gnb56,Cisgênero (é o sexo que nasceu),Sim,Até 3 mil,Sim,Evangélico,3.0,3.0,1,Nenhuma,1,2.0,2.0,1.0,4.0,5.0,Positiva,Nenhuma,3,Não,Indiferente,0.0,2.0,Sim,True,True,False,True,False,False,False,False,False,False,False
128,2024-11-16 08:56:56,kholmes@example.org,60.0,Masculino,sdv-pii-xdkoa,sdv-pii-cl3su,Cisgênero (é o sexo que nasceu),Sim,Até 5 mil,Sim,Evangélico,4.0,1.0,1,Até 4 vezes,3,2.0,1.0,1.0,5.0,5.0,Positiva,Muita,5,Sim,Penso sobre a critica,2.0,0.0,Sim,False,True,True,False,True,False,False,False,False,False,False
140,2024-11-16 09:49:29,hayeshannah@example.com,36.0,Masculino,sdv-pii-uxa8i,sdv-pii-sms7f,Não binário,Sim,Atè 10 mil,Sim,Evangélico,1.0,4.0,1,Todos os dias,3,2.0,2.0,2.0,5.0,5.0,Positiva,Nenhuma,5,Sim,Indiferente,0.0,1.0,Não,False,False,False,False,False,False,False,False,False,False,False
143,2024-11-16 19:27:19,cgill@example.net,60.0,Masculino,sdv-pii-dfoad,sdv-pii-pdeam,Cisgênero (é o sexo que nasceu),Sim,Até 3 mil,Não,Evangélico,4.0,1.0,1,Nenhuma,4,1.0,0.0,5.0,5.0,3.0,Positiva,Muita,5,Não,Triste,0.0,2.0,Não,True,False,True,False,False,False,False,False,False,False,False
161,2024-11-16 18:41:55,sarahchang@example.com,41.0,Feminino,sdv-pii-ropcy,sdv-pii-m06s0,Cisgênero (é o sexo que nasceu),Sim,Atè 10 mil,Sim,Evangélico,1.0,2.0,1,Até 8 vezes,4,0.0,1.0,3.0,3.0,5.0,Positiva,Nenhuma,3,Sim,Indiferente,0.0,1.0,Não,True,True,False,False,False,False,False,False,False,False,False
167,2024-11-18 18:59:02,sandovalangela@example.com,60.0,Feminino,sdv-pii-drbzy,sdv-pii-68enp,Cisgênero (é o sexo que nasceu),Sim,Superior 30 mil,Sim,Católico,1.0,3.0,3,Até 4 vezes,2,1.0,2.0,2.0,4.0,2.0,Negativa,Nenhuma,1,Não,Indiferente,2.0,4.0,Sim,False,False,True,False,False,False,False,False,False,False,False
181,2024-11-16 08:56:56,cynthiacruz@example.com,19.0,Feminino,sdv-pii-kwg5s,sdv-pii-qvtaf,Cisgênero (é o sexo que nasceu),Sim,Até 5 mil,Sim,Católico,4.0,3.0,2,Até 4 vezes,5,2.0,2.0,2.0,2.0,5.0,Positiva,Quando fico no cel à noite .,3,Sim,Indiferente,3.0,3.0,Não,True,False,False,False,False,False,False,False,False,False,False
187,2024-11-16 08:56:56,olivertony@example.com,41.0,Masculino,sdv-pii-824fa,sdv-pii-kxb7u,Cisgênero (é o sexo que nasceu),Sim,Até 5 mil,Sim,Católico,2.0,5.0,3,Até 4 vezes,1,0.0,3.0,5.0,4.0,3.0,Negativa,Nenhuma,3,Não,Indiferente,3.0,4.0,Sim,True,True,False,False,True,False,False,False,True,False,False
188,2024-11-16 13:34:08,patrick35@example.com,60.0,Masculino,sdv-pii-ns8q3,sdv-pii-hjlcw,Cisgênero (é o sexo que nasceu),Sim,Até 5 mil,Sim,Evangélico,2.0,2.0,3,Até 8 vezes,4,0.0,1.0,2.0,4.0,3.0,Negativa,Nenhuma,3,Sim,Indiferente,3.0,2.0,Não,False,False,False,True,False,False,False,False,False,False,False
189,2024-11-16 11:21:46,ysmith@example.com,43.0,Feminino,sdv-pii-fit00,sdv-pii-knvl0,Cisgênero (é o sexo que nasceu),Sim,Até 3 mil,Sim,Evangélico,10.0,4.0,4,Nenhuma,5,2.0,1.0,1.0,5.0,2.0,Negativa,Nenhuma,3,Não,Indiferente,0.0,1.0,Sim,True,False,True,True,True,False,False,False,False,False,False
191,2024-11-16 08:56:56,carolineconner@example.com,21.0,Masculino,sdv-pii-2c76o,sdv-pii-0u2q2,Cisgênero (é o sexo que nasceu),Sim,Até 3 mil,Sim,Evangélico,1.0,5.0,2,Nenhuma,3,4.0,2.0,1.0,4.0,3.0,Negativa,Nenhuma,4,Sim,Penso sobre a critica,0.0,3.0,Não,True,False,True,False,False,False,False,False,False,False,False
193,2024-11-16 08:56:56,nwebb@example.org,46.0,Masculino,sdv-pii-e8dws,sdv-pii-ukbcs,Cisgênero (é o sexo que nasceu),Sim,Atè 10 mil,Sim,Evangélico,3.0,5.0,5,Todos os dias,5,2.0,1.0,3.0,1.0,5.0,Positiva,Nenhuma,3,Não,Triste,0.0,2.0,Sim,False,True,False,False,False,False,False,False,False,False,False
200,2024-11-16 08:56:56,vincentmary@example.com,27.0,Feminino,sdv-pii-xzo3k,sdv-pii-oqzca,Cisgênero (é o sexo que nasceu),Sim,Até 3 mil,Sim,Católico,3.0,3.0,3,Todos os dias,2,3.0,4.0,1.0,3.0,5.0,Positiva,Muita,3,Sim,Indiferente,2.0,5.0,Não,True,True,False,False,False,False,False,False,False,False,False
223,2024-11-16 08:56:56,samanthaschmidt@example.com,19.0,Masculino,sdv-pii-4pvti,sdv-pii-0oyrt,Cisgênero (é o sexo que nasceu),Sim,Até 5 mil,Sim,Evangélico,1.0,2.0,3,Até 8 vezes,2,1.0,3.0,1.0,2.0,3.0,Negativa,Nenhuma,3,Não,Indiferente,1.0,4.0,Não,True,True,True,False,False,False,False,False,False,False,False
241,2024-11-17 03:08:47,hpeterson@example.com,60.0,Feminino,sdv-pii-sng58,sdv-pii-8bcyy,Cisgênero (é o sexo que nasceu),Sim,Até 5 mil,Não,Evangélico,1.0,2.0,3,Nenhuma,2,0.0,1.0,1.0,5.0,5.0,Positiva,Muita,3,Não,Penso sobre a critica,0.0,1.0,Não,False,True,True,False,False,True,False,False,False,False,False
247,2024-11-16 21:22:28,gonzalezpatricia@example.com,21.0,Feminino,sdv-pii-ysx82,sdv-pii-s0y1i,Cisgênero (é o sexo que nasceu),Sim,Até 3 mil,Sim,nenhuma,6.0,3.0,3,Até 4 vezes,4,2.0,5.0,5.0,1.0,5.0,Positiva,Nenhuma,3,Sim,Indiferente,0.0,1.0,Não,False,False,False,False,False,False,False,False,False,False,False
260,2024-11-16 11:09:56,davidosborne@example.net,44.0,Masculino,sdv-pii-zd1ui,sdv-pii-8u3i1,Cisgênero (é o sexo que nasceu),Não,Até 3 mil,Sim,Evangélico,5.0,3.0,1,Até 4 vezes,2,1.0,4.0,1.0,4.0,1.0,Positiva,Nenhuma,3,Não,Indiferente,1.0,1.0,Não,False,False,False,True,False,False,False,False,False,False,False
265,2024-11-16 08:56:56,rthompson@example.com,60.0,Masculino,sdv-pii-8174o,sdv-pii-swbsc,Cisgênero (é o sexo que nasceu),Sim,Até 5 mil,Sim,Católico,6.0,2.0,1,Nenhuma,3,2.0,0.0,1.0,5.0,2.0,Positiva,Nenhuma,3,Sim,Triste,3.0,3.0,Sim,False,True,True,False,False,True,False,False,False,False,False
278,2024-11-16 19:24:17,nancyramirez@example.net,38.0,Masculino,sdv-pii-mz55p,sdv-pii-wzkgj,Cisgênero (é o sexo que nasceu),Sim,Até 5 mil,Sim,Evangélico,1.0,4.0,2,Até 4 vezes,2,0.0,2.0,3.0,4.0,5.0,Negativa,Nenhuma,3,Não,Penso sobre a critica,0.0,1.0,Não,False,True,False,False,False,False,False,False,False,False,False
287,2024-11-16 08:56:56,clopez@example.org,46.0,Masculino,sdv-pii-wap40,sdv-pii-r7rtw,Cisgênero (é o sexo que nasceu),Sim,Até 5 mil,Sim,Católico,3.0,3.0,2,Nenhuma,3,1.0,2.0,1.0,5.0,5.0,Negativa,Nenhuma,4,Sim,Penso sobre a critica,1.0,3.0,Sim,True,True,True,False,False,False,False,False,False,False,False
295,2024-11-16 08:56:56,zacharytaylor@example.com,41.0,Masculino,sdv-pii-hbq76,sdv-pii-a73br,Cisgênero (é o sexo que nasceu),Sim,Atè 10 mil,Sim,Evangélico,3.0,1.0,5,Até 4 vezes,4,4.0,1.0,1.0,3.0,5.0,Positiva,Nenhuma,3,Não,Penso sobre a critica,1.0,3.0,Sim,True,False,True,False,False,False,False,False,False,False,False
299,2024-11-16 17:44:37,aaron92@example.com,42.0,Masculino,sdv-pii-o2dim,sdv-pii-ix9r5,Cisgênero (é o sexo que nasceu),Não,Atè 10 mil,Não,Evangélico,1.0,2.0,1,Nenhuma,1,1.0,5.0,1.0,5.0,3.0,Positiva,Nenhuma,2,Sim,Penso sobre a critica,1.0,0.0,Não,False,False,False,False,True,False,False,False,False,False,False
301,2024-11-16 08:56:56,patricia04@example.net,54.0,Feminino,sdv-pii-mm4sw,sdv-pii-0ec8h,Cisgênero (é o sexo que nasceu),Sim,Até 3 mil,Sim,Evangélico,4.0,3.0,2,Nenhuma,4,1.0,2.0,2.0,3.0,5.0,Positiva,Nenhuma,3,Não,Penso sobre a critica,0.0,2.0,Não,False,False,True,False,False,False,False,False,False,False,False
302,2024-11-16 09:16:45,greenejessica@example.org,31.0,Masculino,sdv-pii-75t0v,sdv-pii-wpmtc,Cisgênero (é o sexo que nasceu),Sim,Até 3 mil,Sim,Evangélico,4.0,5.0,3,Todos os dias,3,0.0,2.0,5.0,1.0,4.0,Positiva,Nenhuma,3,Sim,Indiferente,2.0,4.0,Não,True,False,False,False,False,False,False,False,False,False,False
311,2024-11-16 08:56:56,collierbernard@example.net,29.0,Masculino,sdv-pii-zq0zf,sdv-pii-jq6v3,Cisgênero (é o sexo que nasceu),Sim,Até 3 mil,Não,Creio em Deus,1.0,3.0,2,Nenhuma,2,0.0,4.0,1.0,4.0,4.0,Positiva,Nenhuma,4,Sim,Indiferente,0.0,0.0,Sim,True,False,True,False,False,False,False,False,False,False,False
317,2024-11-16 08:56:56,ygarrison@example.com,30.0,Masculino,sdv-pii-a6qee,sdv-pii-zyovt,Cisgênero (é o sexo que nasceu),Não,Até 3 mil,Não,Católico,3.0,3.0,3,Até 4 vezes,3,0.0,4.0,1.0,3.0,5.0,Positiva,Muita,3,Não,Indiferente,2.0,3.0,Sim,False,True,False,False,False,False,False,False,False,False,False
347,2024-11-16 13:25:39,qsummers@example.org,60.0,Masculino,sdv-pii-kqzj3,sdv-pii-hdljc,Cisgênero (é o sexo que nasceu),Sim,Até 5 mil,Sim,Católico,2.0,2.0,3,Todos os dias,5,0.0,2.0,3.0,1.0,5.0,Positiva,Nenhuma,3,Não,Penso sobre a critica,2.0,0.0,Não,False,True,False,False,True,False,True,False,False,False,False
352,2024-11-18 00:43:27,nicole17@example.net,43.0,Masculino,sdv-pii-n3t65,sdv-pii-2wa3d,Cisgênero (é o sexo que nasceu),Sim,Até 5 mil,Não,Evangélico,4.0,1.0,1,Todos os dias,1,2.0,2.0,2.0,4.0,1.0,Positiva,Nenhuma,5,Sim,Triste,0.0,2.0,Sim,True,True,True,True,False,False,False,False,False,False,False
358,2024-11-17 06:32:08,sheasally@example.org,26.0,Masculino,sdv-pii-3uqiy,sdv-pii-7ktxo,Não binário,Sim,Até 3 mil,Sim,Católico,2.0,2.0,1,Até 4 vezes,2,4.0,2.0,2.0,5.0,3.0,Positiva,Nenhuma,4,Não,Ansioso,2.0,3.0,Não,True,False,False,False,False,False,False,False,False,False,False
364,2024-11-16 10:59:27,kenneth48@example.org,19.0,Masculino,sdv-pii-jh6sq,sdv-pii-way5s,Cisgênero (é o sexo que nasceu),Sim,Até 20 mil,Sim,Católico,5.0,4.0,1,Até 4 vezes,3,2.0,2.0,1.0,3.0,2.0,Positiva,Nenhuma,3,Não,Indiferente,2.0,1.0,Não,False,False,False,False,False,False,False,False,False,False,False
373,2024-11-16 08:56:56,banksstanley@example.com,43.0,Feminino,sdv-pii-srzda,sdv-pii-vai91,Cisgênero (é o sexo que nasceu),Sim,Até 3 mil,Sim,Evangélico,3.0,2.0,3,Nenhuma,3,1.0,5.0,1.0,3.0,2.0,Negativa,Muita,3,Sim,Indiferente,0.0,0.0,Não,False,False,False,True,False,False,False,False,False,False,False
381,2024-11-18 21:19:23,millertanya@example.net,49.0,Masculino,sdv-pii-uz92i,sdv-pii-hzl29,Cisgênero (é o sexo que nasceu),Não,Até 5 mil,Sim,Católico,5.0,4.0,2,Todos os dias,1,2.0,5.0,3.0,4.0,2.0,Negativa,As vezes insônia ,2,Sim,Triste,0.0,1.0,Não,True,False,False,False,False,False,False,False,False,False,False
387,2024-11-16 08:56:56,leechristopher@example.org,60.0,Masculino,sdv-pii-dwytf,sdv-pii-vae4l,Cisgênero (é o sexo que nasceu),Sim,Até 5 mil,Sim,Evangélico,3.0,4.0,1,Todos os dias,3,2.0,1.0,1.0,4.0,5.0,Positiva,Nenhuma,3,Sim,Triste,0.0,5.0,Não,False,True,True,False,False,False,False,False,False,False,False
389,2024-11-16 08:56:56,deleontyler@example.com,49.0,Masculino,sdv-pii-k54c3,sdv-pii-a5ii1,Cisgênero (é o sexo que nasceu),Sim,Atè 10 mil,Sim,Católico,1.0,2.0,1,Nenhuma,3,1.0,2.0,4.0,3.0,3.0,Negativa,Quando fico no cel à noite .,4,Não,Indiferente,0.0,3.0,Não,True,True,False,False,False,False,False,False,False,False,False
398,2024-11-16 09:55:32,zmatthews@example.org,56.0,Masculino,sdv-pii-6pif6,sdv-pii-gpmub,Cisgênero (é o sexo que nasceu),Não,Atè 10 mil,Não,Evangélico,3.0,3.0,1,Nenhuma,2,1.0,3.0,1.0,3.0,5.0,Positiva,Nenhuma,3,Não,Indiferente,1.0,3.0,Não,True,False,False,True,False,False,False,False,False,True,False
400,2024-11-17 21:32:48,ugrant@example.net,37.0,Feminino,sdv-pii-gx013,sdv-pii-7i50k,Cisgênero (é o sexo que nasceu),Sim,Atè 10 mil,Sim,Evangélico,5.0,3.0,2,Nenhuma,1,1.0,3.0,1.0,4.0,5.0,Positiva,Nenhuma,3,Sim,Indiferente,1.0,3.0,Não,True,False,True,False,False,False,False,False,False,False,False
409,2024-11-16 08:56:56,adam42@example.org,30.0,Masculino,sdv-pii-ywcd4,sdv-pii-egxxg,Cisgênero (é o sexo que nasceu),Não,Até 3 mil,Não,Evangélico,3.0,3.0,1,Nenhuma,3,0.0,2.0,2.0,5.0,2.0,Positiva,Nenhuma,3,Sim,Indiferente,0.0,5.0,Não,True,True,False,False,False,False,False,False,False,False,False
413,2024-11-16 12:16:21,ehorton@example.org,49.0,Masculino,sdv-pii-qq6og,sdv-pii-h78l2,Cisgênero (é o sexo que nasceu),Sim,Até 5 mil,Sim,Evangélico,4.0,2.0,2,Nenhuma,2,3.0,3.0,1.0,5.0,5.0,Positiva,Nenhuma,3,Não,Indiferente,3.0,0.0,Não,True,True,True,False,False,False,False,False,False,False,False
421,2024-11-16 16:06:02,millermelinda@example.org,51.0,Masculino,sdv-pii-9u8pb,sdv-pii-lsxc8,Cisgênero (é o sexo que nasceu),Sim,Atè 10 mil,Não,Evangélico,4.0,3.0,1,Nenhuma,1,1.0,4.0,1.0,4.0,3.0,Positiva,Nenhuma,3,Não,Triste,1.0,5.0,Sim,True,False,True,True,False,False,False,False,False,False,False
